"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"150","Devine Ozigbo (FA)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","3","1.7","0.6","0.0%"
"151","Godwin Igwebuike (FA)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","5","1.7","0.3","0.0%"
"152","Ty'Son Williams (ARI)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","1.5","1.5","0.0%"
"153","Jerome Ford (CLE)","8","12","1.5","9","0","0","0","0","0","0","0","0","13","1.2","0.1","10.0%"
"154","Reggie Bonnafon (FA)","3","8","2.7","5","0","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"155","Kylin Hill (FA)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"156","Duke Johnson Jr. (FA)","2","4","2.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"157","Damien Williams (FA)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"158","Jordan Howard (FA)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","0.0%"
"159","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"160","Chris Myarick (NYG)","0","0","0","0","0","0","7","8","65","9.3","1","0","10","0.0","0.0","0.0%"
"161","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Rico Dowdle (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"163","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Qadree Ollison (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"165","Khari Blasingame (CHI)","0","0","0","0","0","0","0","1","0","0","0","0","5","0.0","0.0","0.0%"
"166","John Lovett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Andrew Beck (HOU)","2","0","0.0","1","0","0","5","11","69","13.8","0","0","9","0.0","0.0","0.0%"
"168","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"169","Sandro Platzgummer (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"170","Kennedy Brooks (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Mohamed Ibrahim (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Jason Huntley (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"173","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"174","Jake Bargas (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","John Lovett (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"176","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"177","Troy Hairston II (HOU)","0","0","0","0","0","0","5","8","19","3.8","0","0","12","0.0","0.0","0.0%"
"178","DeWayne McBride (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"179","Sean Tucker (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"180","Clint Ratkovich (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Kendre Miller (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.9%"
"182","Israel Abanikanda (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"183","Bryant Koback (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"184","Greg Bell (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Roschon Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.5%"
"186","Ronnie Brown (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Hunter Luepke (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Zach Ojile (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Ellis Merriweather (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Alfonzo Graham (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Emanuel Wilson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Jaleel McLaughlin (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Owen Wright (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Chris Brooks (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Jordan Mims (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Deneric Prince (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"197","Travis Dye (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
