,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints
401,Matt,Breida,2018,SFO,RB,23.0,Matt Breida,36.0,21.0,180.0,1.0,58.3,105.0,465.0,2.0,1.0,2.0,162.5
402,Adrian,Peterson,2007,CHI,RB,28.0,Adrian Peterson,8.0,6.333333333333333,74.66666666666667,0.0,86.10000000000001,32.0,157.66666666666666,2.0,1.6666666666666667,6.0,162.36
403,Cedric,Benson,2011,CIN,RB,29.0,Cedric Benson,33.24444444444445,24.822222222222223,158.64444444444445,0.7111111111111111,74.28444444444445,315.22222222222223,1151.4444444444443,6.711111111111111,5.266666666666667,7.0,161.9
404,Theo,Riddick,2016,DET,RB,25.0,Theo Riddick,84.08695652173913,66.0,581.0434782608696,3.3043478260869565,76.90434782608695,36.0,108.04347826086956,0.0,0.6956521739130435,4.0,161.8
405,James,White,2016,NWE,RB,24.0,James White,49.25806451612903,36.61290322580645,372.5483870967742,3.612903225806452,76.60645161290321,20.741935483870968,54.25806451612903,1.8064516129032255,0.0,3.0,161.7
406,Steve,Slaton,2009,HOU,RB,23.0,Steve Slaton,59.0,50.0,377.0,1.0,84.7,268.0,1282.0,9.0,3.0,2.0,161.4
407,Ronnie,Hillman,2015,DEN,RB,24.0,Ronnie Hillman,26.307692307692307,17.53846153846154,131.30769230769232,0.6153846153846154,70.99230769230769,86.38461538461539,350.9230769230769,2.230769230769231,1.3846153846153846,4.0,161.4
408,Willis,McGahee,2011,DEN,RB,30.0,Willis McGahee,18.73913043478261,14.347826086956522,65.43478260869566,1.3478260869565215,77.4608695652174,103.1304347826087,437.0434782608696,7.434782608695652,1.6521739130434785,8.0,161.0
409,Chester,Taylor,2008,MIN,RB,29.0,Chester Taylor,45.7906976744186,33.53488372093023,283.4418604651163,0.0,72.6325581395349,207.93023255813952,973.7674418604652,6.651162790697675,5.0,7.0,160.96
410,Dion,Lewis,2018,TEN,RB,28.0,Dion Lewis,33.02564102564103,29.307692307692307,192.46153846153845,2.4615384615384617,87.70256410256411,159.17948717948718,785.974358974359,4.923076923076923,0.1794871794871795,6.0,160.7
411,Danny,Woodhead,2010,NWE,RB,25.0,Danny Woodhead,14.0,8.0,87.0,0.0,57.1,15.0,64.0,0.0,0.0,2.0,160.60000000000005
412,Willis,McGahee,2009,BAL,RB,28.0,Willis McGahee,38.21951219512195,30.951219512195124,194.21951219512195,0.3658536585365853,79.6829268292683,215.3658536585366,867.0975609756098,7.0,3.365853658536585,6.0,159.9
413,Frank,Gore,2014,SFO,RB,31.0,Frank Gore,30.0,20.0,172.0,0.3333333333333333,65.46666666666665,270.0,1156.6666666666667,8.666666666666666,2.6666666666666665,10.0,158.7
414,Shane,Vereen,2015,NYG,RB,26.0,Shane Vereen,75.4,51.0,443.0,3.0,67.62,85.6,354.4,1.8,0.2,5.0,158.5
415,Jeff,Wilson,2022,MIA,RB,26.0,Jeff Wilson,16.0,9.4,71.8,1.2,71.06,97.8,416.4,4.0,1.4,5.0,158.5
416,Giovani,Bernard,2020,CIN,RB,29.0,Giovani Bernard,44.36363636363637,31.363636363636363,229.63636363636363,0.0,70.64545454545454,53.81818181818182,181.1818181818182,0.8181818181818182,1.4545454545454546,8.0,158.0
417,C.J.,Spiller,2011,BUF,RB,24.0,C.J. Spiller,30.0,24.0,157.0,1.0,80.0,74.0,283.0,0.0,5.0,2.0,158.0
418,BenJarvus,Green-Ellis,2011,NWE,RB,26.0,BenJarvus Green-Ellis,13.0,9.272727272727272,64.81818181818181,0.0,65.45454545454545,173.63636363636363,764.1818181818181,9.454545454545457,0.0,4.0,157.6
419,Latavius,Murray,2017,MIN,RB,27.0,Latavius Murray,46.63636363636363,35.90909090909091,252.3636363636364,0.0,76.95454545454545,220.8181818181818,889.0909090909091,9.818181818181818,2.727272727272727,4.0,157.5
